,QueryName,ReleaseDate,RequiredAge,DLCCount,Metacritic,RecommendationCount,SteamSpyOwners,SteamSpyPlayersEstimate,AchievementCount,ControllerSupport,IsFree,SubscriptionAvail,CategorySinglePlayer,CategoryMultiplayer,CategoryCoop,CategoryMMO,CategoryInAppPurchase,CategoryIncludeLevelEditor,CategoryVRSupport,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceCurrency,PriceInitial,PriceFinal,Reviews
1431,Kohan: Immortal Sovereigns,Aug 24 2011,0,0,87,0,13810,8429,0,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99, 
1432,Kohan: Ahriman's Gift,Aug 24 2011,0,0,79,0,14707,5560,0,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99, 
1433,Kohan II: Kings of War,Aug 24 2011,13,0,81,0,21163,12734,0,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99, 
1434,Magic: The Gathering - Duels of the Planeswalkers 2013,Jun 20 2012,0,46,77,897,406227,387395,25,True,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99, 
1435,TRAUMA,Aug 8 2011,0,0,62,529,250731,101512,0,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,USD,6.99,6.99, 
1436,Frozen Synapse,May 26 2011,0,2,85,2192,707175,505766,16,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,USD,24.99,24.99,Ceaselessly thrilling.9/10 - EDGE Excellent and inventive...its such an achievement.9/10 - Eurogamer The most moreish and brilliant game Ive played in years.95% - bit-gamer
1437,Toy Soldiers,Apr 27 2012,0,0,71,911,222573,172714,17,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,USD,9.99,9.99, 
1438,Hard Reset,Jul 12 2012,17,1,73,2684,496619,260595,115,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,USD,14.99,14.99, 
1439,Naval Warfare,May 25 2011,0,0,57,217,120702,34973,0,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,USD,2.99,2.99, 
1440,"Demolition, Inc.",Sep 19 2011,0,1,0,224,100615,79811,37,True,False,False,True,False,False,False,False,True,False,True,True,False,True,True,False,True,False,False,False,False,False,USD,5.99,5.99, 
1441,Dungeons of Dredmor,Jul 13 2011,0,3,79,3386,567821,437792,124,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,USD,4.99,4.99, 
1442,Alien Hallway,Aug 19 2011,0,0,0,171,44479,15245,20,False,False,False,True,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,USD,4.99,4.99, 
1443,Dungeons & Dragons: Daggerdale,Jun 24 2011,0,0,0,297,125186,109941,12,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,USD,14.99,14.99, 
1444,Yar's Revenge,Apr 28 2011,0,0,56,0,5022,1614,12,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99, 
1446,Renegade Ops,Oct 26 2011,0,2,76,1441,725648,197464,16,True,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,15.0,15.0, 
1447,Garshasp: The Monster Slayer,May 9 2011,0,0,49,267,68153,20446,36,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
1448,Garshasp: Temple of the Dragon,Sep 24 2012,0,0,0,0,45555,8429,0,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
1449,NightSky,Mar 1 2011,0,0,78,692,559212,200333,22,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,USD,9.99,9.99, 
1450,Bulletstorm,Feb 21 2011,17,0,82,3545,367129,281220,0,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,19.99,19.99, 
1451,Crysis 2,Mar 22 2011,16,0,0,5458,111555,110659,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,29.99,29.99, 
1452,Spiral Knights,Jun 14 2011,0,11,64,15519,2751402,1658446,54,False,True,False,True,True,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True, ,0.0,0.0, 
1457,Runespell: Overture,Jul 20 2011,0,0,69,299,118012,62952,35,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,USD,9.99,9.99, 
1458,Vertex Dispenser,Jun 10 2011,0,0,70,0,38740,14348,12,False,False,False,True,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99, 
1459,Kingdoms of Amalur: Reckoning™,Feb 7 2012,17,3,81,6628,834334,698567,61,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,USD,19.99,19.99, 
1460,Orcs Must Die!,Oct 11 2011,0,2,83,4412,1478199,911813,27,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99,Not since Lemmings has a game so seamlessly mixed engaging mechanics humor cuteness and gleeful cruelty.90/100 - PCGamer Orcs Must Die! embellishes your devious side encouraging you to devise clever ways of fulfilling the command of the title.9.0/10 - Editors Choice - IGN I was pleasantly surprised by just how good Orcs Must Die! is and I think you will be too. Welcome to the new standard in ACTION TOWER....4.5/5.0 - gamespy
1462,Gatling Gears,Aug 30 2011,0,0,0,0,44120,21881,12,False,False,False,True,True,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,USD,9.99,9.99, 
1463,Shank 2,Feb 7 2012,17,0,72,1277,606022,289829,20,True,False,False,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,USD,9.99,9.99, 
1464,WARP,Mar 21 2012,18,0,0,224,52011,32642,0,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,USD,9.99,9.99,Turning people inside out will be one of this years great enjoyments.8.5/ 10 – Editors Choice - IGNWarp is truly a game built for stealthy pacifists homicidal maniacs and everyone in-between.A-  – 1UP... Warp is an excellent intelligently crafted game that ranks high on our list of this years must-have downloadable titles.8/10  – Gamesradar
1465,iBomber Defense,May 26 2011,0,0,0,166,88419,49680,22,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,USD,4.99,4.99, 
1466,Storm in a Teacup,Jan 19 2012,0,0,0,118,49680,14169,19,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
1467,Inside a Star-filled Sky ,May 14 2011,0,0,0,0,17397,13989,0,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,USD,7.99,7.99,A beautiful violent crumb from infinitys table9/10 – IGN Eloquently translates the incomprehensible concept of infinity into game form...  Alternately maddening and sublime4/5 – GamePro
1468,BEEP,May 6 2011,0,1,0,3861,623240,399950,0,False,False,False,True,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,False,False,USD,14.99,1.49,Beep is a worthy new asset in the ever growing Steam indie scene.EurogamerBig Fat Aliens BEEP Looks Simply FantasticDual Shockers
1469,Portal 2 - The Final Hours,May 17 2011,0,0,0,395,146887,103664,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,USD,1.99,1.99, 
1472,A New Beginning - Final Cut,Dec 11 2012,0,0,72,961,266513,69408,28,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,USD,9.99,9.99,A New Beginning gives an amazing impression. Its exciting smart and persistent. The graphics are a genuine eye-catcher and both protagonists grow into complex personalities the player can easily relate to even grow fond of.90/100 - http://www.adventurecorner.de/reviews/228/a-new-beginningThe dialogues carrying a serious yet sometimes witty tone are one of the games major strong points. They give both likeable protagonists depth and personality. The writers have paid attention to even the most delicate details.84/100 - GamestarBlending strongly-defined characters into a stunning and memorable backdrop A New Beginning is an eco-thriller that is not to be missed.80/100 - Adventure Gamers
1473,Lume,May 9 2011,0,0,69,408,97925,38381,0,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,USD,5.99,5.99,Undoubtedly one of the most unique-looking games around.- EurogamerThe best of point and click gaming... amazing visual presentation.- Jay is GamesWow! The effect is breathtaking.- Rock Paper ShotgunCharming to the extreme.- Games (tm)A rare treat.- Bit-Gamer
1474,Critical Mass,Jun 20 2011,0,0,81,354,116936,54522,27,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,USD,1.99,1.99,Critical Mass is the type of game everyone can pick up and enjoy in seconds and yet come back to time and time again and still be challenged.8.0 - IGN Critical Mass will be the next big casual PC game. If you thought that Peggle or Bejewelled was addictive wait until you play Critical Mass8.0 - ImpulseGamer
1475,Ms. Splosion Man,Apr 3 2013,0,0,0,171,57033,19370,12,True,False,False,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99, 
1476,Age of Empires® III: Complete Collection,Jan 5 2012,0,0,81,7658,1876355,1533260,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,USD,39.99,39.99, 
1477,Terraria,May 16 2011,0,1,83,139819,8165607,7764044,88,True,False,False,True,True,True,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,USD,9.99,9.99, 
1478,Tobe's Vertical Adventure,Jul 18 2011,0,0,75,115,81245,28875,13,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,USD,4.99,4.99,Fantastic Platforming and Cave Diving. Two player? Even better!– Xbox Hornet Tobes Vertical Adventure is a fun little game reminiscent of the old Mario Bros games from the original Nintendo– XBLIG News Reviews & Previews If you want a thrilling little platformer with waaaay too much cuteness for its own good start downloading this gem!– The Indie Game Magazine
1479,PixelJunk Eden,Feb 2 2012,0,1,81,625,306508,139893,61,True,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,USD,9.99,9.99, 
1480,Bastion,Aug 16 2011,0,1,86,19633,2339436,1854116,24,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,USD,14.99,14.99,This game is amazing and you owe it to yourself to download it.9.0/10 - IGNThe soundtrack is phenomenal the world is breathtaking and the narration is a brilliant new idea for gaming.92/100 - PC GamerThe entire game drips with passionate artistry from the gorgeous watercolor aesthetics to the stirring soundtrack.9/10 - Wired
1481,Space Pirates and Zombies,Aug 15 2011,0,0,74,2187,659648,453216,48,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,USD,9.99,9.99,The developers are planning to continue expanding the game in the future but why wait? Its already great now...9/10 - Atomic Gamer But suffice to say Space Pirates and Zombies isnt just a grand open-world space action RPG in the tradition of Star Control. Its also a rare expression of zombies that belongs alongside Dead Rising and Atom Zombie Smasher.A - Gameshark Its a very solid game that is obviously made out of passion and is a great example of the indie renaissance weve been experiencing lately. In my opinion its one of the best things that $15 can buy.90/100 - RTS Guru
1482,Breath of Death VII ,Jul 13 2011,0,0,0,1000,583424,194594,0,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,USD,2.99,2.99,Breath of Death VII is one of those rare parody games that recognises and mocks the pitfalls of its genre but then sidesteps them in its own design equipping itself with a veneer of smug satisfaction that transfers to the gamer. – HonestGamer The writing is impeccable sharp and one will find themselves in gigglefits throughout especially when they begin to recognize many of the references being made to older games and the vast number of play-on-words. – RPGamer Breath of Death VII: The Beginning is a real surprise. Its an RPG that feels like it was a classic from back in the day but it doesnt have any RPG hang-ups. – WorthPlaying For an RPG whose sheer fun factor is on par with a lot of the $30 to $60 games people shell out multiple bills for its an extreme bargain. – RPGFan
1483,Cthulhu Saves the World ,Jul 13 2011,0,0,78,2731,631849,390265,0,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,USD,2.99,2.99,So when I say Cthulhu Saves The World is already one of my favourite games of 2011 you can be sure Ive not been swayed by its astonishingly precise pastiche of early 1990s JRPG cliches strident synth music chunky menus and all. Its simply a really clever hugely enjoyable game and its as much honest tribute as cheeky spoof.- Eurogamer Its rare to find a game that is both entertaining and genuinely funny and so far Cthulhu Saves the World is both.- Joystiq
1484,Arma 3,Sep 12 2013,17,4,74,63534,2785120,2728087,74,False,False,False,True,True,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,USD,39.99,39.99,A significant step forward for the king of military simulation... Arma 3 is an unparalleled war story generator.84/100 - PC GamerArma 3 ambition in re-creating so many elements of modern warfare will astound you.8/10 - GameSpot
1485,Waves,Nov 16 2011,0,1,82,924,101691,62772,54,True,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99,One of the finest examples of the twin-stick arcade shooter genre8/10 - EurogamerWorth splashing out on it.81/100 - PC Gamer Feb 2012 IssueThis is a damn fun arcade action game.8/10 - Atomic Gamer
1486,Rochard,Nov 15 2011,0,2,81,1198,459852,193698,18,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,USD,9.99,9.99,Enjoy Rochard as it was intended and let it bend your mind a bit. You wont be sorry you did.85/100 – IGN.com
1488,Starpoint Gemini,Feb 16 2012,0,1,46,0,54522,23315,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,USD,13.99,13.99, 
1489,Ticket to Ride,May 24 2012,0,7,0,933,277992,170741,65,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,USD,9.99,9.99, 
1491,Vessel,Mar 1 2012,0,0,81,493,360672,135768,20,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,USD,19.99,19.99,Just like Portal 2 Vessel is about a universally recommended game as can exist. Its charming entertaining stimulating and a hell of an experience for the price point.9/10 - MachinimaOne of the best puzzle games since Little Big Planet or Portal. Yeah its that good.5/5 - Piki GeekVessel is around a quarter of the price of a AAA game but it contains more flair and ingenuity than most blockbuster games can muster.9/10 - GameSpy
1492,Project Zomboid,Nov 8 2013,0,0,0,12449,735154,705561,0,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,USD,14.99,14.99,What can I say? This games interface looks so simplistic by todays standards and yet the Indie Stone team has managed to possibly create one of the best post-apocalyptic zombie survival games in existence to date.Max Power! (105 hrs)Most realistic zombie apocalypse scenario game to date.democar821 (81 hrs)The gameplay is surprisingly addicting sometimes I look at the clock and wonder where the last 4 hours went but looking at my fort shows me where they went.syfy2K4 (1021 hrs)
1493,Death Rally,Aug 3 2012,0,0,0,437,86626,63490,87,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,USD,9.99,9.99, 
1494,Alan Wake,Feb 16 2012,0,2,83,14262,1723908,1275714,67,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,USD,29.99,29.99,Remedys done a great job of mixing elements of written work television and video games to create an experience full of scares laughs and thrills thats just as fun to play as it is to watch.9/10 - http://pc.ign.com/articles/121/1218682p1.html
1495,Crysis 2 Maximum Edition,Mar 22 2011,16,0,0,5458,2159728,1126495,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,29.99,29.99, 
1496,Legend of Fae,Jul 26 2011,0,0,0,0,15424,10223,0,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,USD,9.99,9.99, 
1497,MicroVolts Surge,Jul 5 2012,0,1,0,3515,860519,410531,0,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True, ,0.0,0.0, 
1498,Fowl Space,Mar 21 2012,0,0,0,200,24750,9147,0,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
1500,Achron,Aug 29 2011,0,0,54,0,14348,8609,18,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,USD,19.99,19.99,Starcraft move over. You finally have some competition in the RTS genre...This is sure to become a LAN favorite across the globe.8/10 - Gamers Daily News This was seriously one of the best games that we have ever played. If you do not pick this up you are missing out.9/10 - RTS Guru Hazardous is taking a big risk with Achron... to add something so compelling to an established genre that players would be willing to take a chance on it... they have succeeded.4/5 - AVault
1501,inMomentum,Oct 31 2011,0,0,59,138,75686,27979,37,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,USD,9.99,9.99, 
1503,Astro Tripper,Sep 15 2011,0,0,0,0,30489,8788,8,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
1504,Alien Zombie Megadeath,Oct 18 2011,0,0,0,0,29951,8429,13,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
1505,Mutant Storm Reloaded,Mar 21 2012,0,0,0,0,26006,5560,12,True,False,False,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
1506,L.A. Noire,Nov 8 2011,17,1,83,10103,1510124,1200745,60,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,USD,19.99,19.99, 
1507,The Clockwork Man,Aug 10 2011,0,0,0,0,12196,9147,0,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,USD,6.99,6.99, 
1508,The Clockwork Man: The Hidden World,Sep 23 2011,0,0,0,0,10761,6995,0,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,USD,9.99,9.99, 
1509,Snuggle Truck,Feb 3 2012,0,0,0,395,133077,74430,13,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,USD,4.99,4.99, 
1510,Smash Cars,Oct 18 2011,0,0,0,0,6277,4842,12,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,USD,9.99,9.99, 
1511,Bunch Of Heroes,Sep 21 2011,0,2,0,352,166436,113349,59,False,False,False,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
1512,Serious Sam Double D XXL,Aug 30 2011,0,0,0,474,485320,113528,30,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99,Mommys Best Games 2D shooter is fun the whole way through.7/10 - IGN Easily the most insane and downright fun 2D shooter Ive played all year if not ever.85/100 - Strategy Informer Theres quite a lot of cathartic fun to be had with such a reckless onslaught of bullet-flavored justice7/10 - Destructoid Check your brain at the door kick back relax and enjoy a little carnage. Its worth it. Seriously.8/10 - Worth Playing
1513,Blocks That Matter,Aug 19 2011,0,0,72,642,267769,177915,32,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99,If you like innovative 2D games that challenge you to actually use your noodle ever once in awhile like Braid and Limbo then you have no excuse.5/5 - Armless Octopus     (...) sometimes you find some gems that are truly worthwhile. Blocks That Matter is one of those.18/20 - http://www.jeuxvideo.com/articles/0001/00014999-blocks-that-matter-test.htm     The games secret reason for being though is its deference to what came before. This is a block game in love with block games.-  Killscreen
1514,Guardians of Middle-earth,Aug 29 2013,0,7,56,1175,625392,191007,29,True,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,USD,19.99,19.99, 
1515,Avadon: The Black Fortress,Aug 17 2011,0,0,75,320,230106,101691,30,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,USD,9.99,9.99,Offers a classic RPG experience. Engrossing narrative. Hours of enjoyable gameplay.4/5 – Mac|Life  As simple as it looks its one of those games thats very easy to fire up for a few minutes only to be magically transported without supper to 5AM the next day.– Rock Paper Shotgun  In the end Avadon: The Black Fortress has everything a good RPG needs. Strong story and characters great combat excellent quests addictive loot and leveling and high replayability.– Inside Mac Games  I want an immersive game backed by a developer with integrity and a desire to win fans one at a time. Spiderweb has that and I hope they continue to honor us with games such as this one.5/5 – Adrenaline Vault  This is a big chunky game that retro RPG fans should absolutely adore.4.5/5 – Digitally Downloaded  Anybody who pines for the days of the older massive classics and decries the state of the new streamlined big-budget RPGs needs to put their money where their mouth is and buy this game.90% – RPGFan
1516,Monaco,Apr 24 2013,0,1,83,6222,1340459,973151,13,True,False,False,True,True,True,False,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,USD,14.99,14.99,One of the best co-op games of all time.PC Gamer Magazine9.5 out of 10 - A hallmark of excellenceDestructoid10 out of 10 - Its original beautifully designed good looking well written challenging highly playable and deeply immersive. Everything a great game should be.GameReactor UK9 out of 10 - One of the most unique and addicting games of 2013IGN9 out of 10 - Monaco is a class act and it knows it.Eurogamer9.5 out of 10 - A strong contender for Game of the Year.GameFront
1517,The Binding of Isaac,Sep 28 2011,0,1,84,39367,2968594,2669619,99,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,USD,4.99,4.99, 
1520,Costume Quest,Oct 14 2011,0,0,0,2143,478146,264003,21,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,USD,9.99,9.99, 
1521,Stacking,Mar 6 2012,0,0,80,1101,431156,210736,21,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,USD,9.99,9.99, 
1522,Iron Brigade,Aug 13 2012,0,0,75,470,146708,73354,23,True,False,False,True,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,USD,14.99,14.99, 
1523,Cossacks II: Napoleonic Wars,Aug 26 2011,0,0,73,205,107968,48066,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,4.99,4.99, 
1524,American Conquest,Aug 26 2011,0,0,76,173,104740,47707,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,4.99,4.99,Finally a worthy RTS covering the violent dawn of North American History.4/5 – GameSpy
1525,American Conquest - Fight Back,Aug 26 2011,0,0,66,128,87881,34614,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,4.99,4.99, 
1526,Call of Duty: Modern Warfare 3,Nov 8 2011,17,4,0,19251,0,0,76,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,39.99,39.99, 
1527,PROTOTYPE 2,Jul 24 2012,17,1,76,4130,520472,391879,43,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,USD,39.99,39.99, 
1529,Super Toy Cars,Jun 6 2014,0,0,0,267,48962,25109,26,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,USD,9.99,9.99, 
1530,Lightfish,Oct 19 2011,0,0,0,122,49321,18473,18,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
1531,Quantum Conundrum,Jun 21 2012,0,3,77,1063,280682,179888,25,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,USD,8.99,8.99, 
1532,Global Ops: Commando Libya,Oct 26 2011,0,0,37,241,53805,13989,24,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99, 
1533,Naval War: Arctic Circle,Apr 10 2012,0,0,64,148,67077,36767,51,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,19.99,19.99, 
1534,Nancy Drew: Shadow at the Water's Edge,Sep 15 2011,0,0,0,0,16141,9685,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,USD,6.99,6.99, 
1535,Puzzler World 2,Oct 24 2011,0,0,0,165,44479,19549,17,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,USD,4.99,4.99, 
1536,Battle Chess: Game of Kings™,Dec 11 2015,0,0,0,167,8071,7712,67,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,USD,29.99,29.99, 
1537,Worms Revolution,Oct 10 2012,0,5,73,3320,1040048,820704,34,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,14.99,14.99, 
1538,Sideway,Nov 15 2011,0,0,71,0,65104,21163,10,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,USD,9.99,9.99, 
1540,Off-Road Drive,Sep 29 2011,0,0,60,333,65642,35870,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,USD,6.99,6.99, 
1541,Batman: Arkham City GOTY,Sep 7 2012,0,0,91,16418,3396164,1872768,64,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,USD,19.99,19.99, 
1542,A Game of Dwarves,Oct 23 2012,0,3,60,395,103843,67615,29,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,USD,9.99,9.99, 
1543,Oil Rush,Jan 25 2012,0,2,67,293,365694,119985,40,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,USD,7.99,7.99,Oil Rush isnt just a joy to behold in action but manages to make an old genre feel fresh while looking the part.80/100 - Destructoid
1544,SOL: Exodus,Jan 25 2012,0,0,57,0,62952,26902,53,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,USD,7.99,7.99, 
1545,Memento Mori,Nov 9 2012,17,0,66,0,24750,8429,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,USD,12.99,12.99, 
1546,XCOM: Enemy Unknown,Oct 8 2012,17,3,89,31794,3498393,2957654,85,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,29.99,29.99,The most engaging and visually stimulating take on turn-based strategy Ive ever seen. - IGNA singular achievement that every gamer deserves to experience. 9.5/10 - Game InformerAddictive and replayable.9/10 - DestructoidAn amazing triumphant game right down to its core. Outstanding5/5 - GameSpy
1547,DUNGEONS - The Dark Lord (Steam Special Edition),Sep 27 2011,17,0,72,126,158186,58289,27,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,USD,19.99,19.99, 
1548,Gettysburg: Armored Warfare,Mar 27 2012,0,0,22,188,36767,16141,33,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99, 
1549,Disciples III: Resurrection,Oct 11 2011,0,0,63,0,128594,32104,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,14.99,14.99, 
